City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
katherine,-14.4667,132.2667,77.32,94,75,4.61,AU,moderate rain
dunmore town,25.5,-76.65,76.86,75,100,11.18,BS,overcast clouds
hunza,25.5,-76.65,76.86,75,100,11.18,BS,overcast clouds
neuquen,-38.9516,-68.0591,67.89,52,0,0.0,AR,clear sky
san ramon,37.7799,-121.978,47.37,75,0,0.0,US,mist
yatou,37.15,122.3833,29.21,65,79,8.61,CN,broken clouds
ciras,37.15,122.3833,29.21,65,79,8.61,CN,broken clouds
wichita falls,33.9137,-98.4934,29.41,91,40,3.44,US,mist
liaoyang,41.2719,123.1731,14.32,53,74,11.03,CN,broken clouds
sawakin,19.1059,37.3321,81.91,60,75,6.62,SD,broken clouds
nuuk,64.1835,-51.7216,23.61,74,20,5.75,GL,few clouds
amapa,1.0,-52.0,72.3,95,100,2.39,BR,overcast clouds
milingimbi,1.0,-52.0,72.3,95,100,2.39,BR,overcast clouds
haibowan,1.0,-52.0,72.3,95,100,2.39,BR,overcast clouds
baiyin,36.5583,104.2081,27.48,32,0,1.9,CN,clear sky
seddon,-37.8068,144.8916,74.61,60,0,4.61,AU,clear sky
lodja,-3.4833,23.4333,78.03,72,100,2.28,CD,overcast clouds
olafsvik,64.8945,-23.7142,31.82,67,67,33.44,IS,broken clouds
teeli,51.0333,90.2333,-0.31,97,64,2.46,RU,broken clouds
oleggio,45.6015,8.6434,51.37,79,40,3.44,IT,scattered clouds
corning,42.1428,-77.0547,22.5,90,0,0.0,US,clear sky
muroto,33.2833,134.15,58.6,90,100,18.63,JP,light rain
newport,51.5877,-2.9984,51.46,91,80,13.82,GB,moderate rain
kamenskoye,51.5877,-2.9984,51.46,91,80,13.82,GB,moderate rain
voznesenye,61.0106,35.4781,23.59,87,100,10.51,RU,overcast clouds
hualmay,-11.0964,-77.6139,69.06,88,96,7.4,PE,overcast clouds
guarapari,-20.6667,-40.4975,73.89,93,100,4.38,BR,moderate rain
arlit,18.7369,7.3853,74.07,22,20,17.0,NE,few clouds
shubarshi,48.5872,57.1869,23.9,94,100,16.28,KZ,light snow
moa,20.6569,-74.9403,73.87,78,5,9.4,CU,clear sky
truth or consequences,33.1284,-107.2528,30.43,59,0,9.22,US,clear sky
